Semana,Fecha,Region,Precio
51,23/12/2016,Antioquia,5985
52,30/12/2016,Antioquia,6009
1,06/01/2017,Antioquia,6010
2,13/01/2017,Antioquia,5922
3,20/01/2017,Antioquia,5902
4,27/01/2017,Antioquia,5830
5,03/02/2017,Antioquia,5830
6,10/02/2017,Antioquia,5795
7,17/02/2017,Antioquia,5802
8,24/02/2017,Antioquia,5767
9,03/03/2017,Antioquia,5740
10,10/03/2017,Antioquia,5655
11,17/03/2017,Antioquia,5644
12,24/03/2017,Antioquia,5573
13,31/03/2017,Antioquia,5552
14,07/04/2017,Antioquia,5503
15,14/04/2017,Antioquia,5434
16,21/04/2017,Antioquia,5298
17,28/04/2017,Antioquia,5168
18,05/05/2017,Antioquia,5115
19,12/05/2017,Antioquia,5044
20,19/05/2017,Antioquia,4966
21,26/05/2017,Antioquia,4900
22,02/06/2017,Antioquia,4844
23,09/06/2017,Antioquia,4790
24,16/06/2017,Antioquia,4769
51,23/12/2016,Bogota,5913
52,30/12/2016,Bogota,5913
1,06/01/2017,Bogota,5729
2,13/01/2017,Bogota,5838
3,20/01/2017,Bogota,5783
4,27/01/2017,Bogota,5660
5,03/02/2017,Bogota,5743
6,10/02/2017,Bogota,5654
7,17/02/2017,Bogota,5501
8,24/02/2017,Bogota,5554
9,03/03/2017,Bogota,5497
10,10/03/2017,Bogota,5426
11,17/03/2017,Bogota,5437
12,24/03/2017,Bogota,5386
13,31/03/2017,Bogota,5409
14,07/04/2017,Bogota,5283
15,14/04/2017,Bogota,5289
16,21/04/2017,Bogota,5208
17,28/04/2017,Bogota,5083
18,05/05/2017,Bogota,5053
19,12/05/2017,Bogota,4930
20,19/05/2017,Bogota,4986
21,26/05/2017,Bogota,4978
22,02/06/2017,Bogota,4979
23,09/06/2017,Bogota,4964
24,16/06/2017,Bogota,4956
51,23/12/2016,Caribe,5724
52,30/12/2016,Caribe,5874
1,06/01/2017,Caribe,5755
2,13/01/2017,Caribe,5654
3,20/01/2017,Caribe,5727
4,27/01/2017,Caribe,5775
5,03/02/2017,Caribe,5737
6,10/02/2017,Caribe,5789
7,17/02/2017,Caribe,5805
8,24/02/2017,Caribe,5666
9,03/03/2017,Caribe,5511
10,10/03/2017,Caribe,5652
11,17/03/2017,Caribe,5706
12,24/03/2017,Caribe,5632
13,31/03/2017,Caribe,5546
14,07/04/2017,Caribe,5624
15,14/04/2017,Caribe,5627
16,21/04/2017,Caribe,5654
17,28/04/2017,Caribe,5668
18,05/05/2017,Caribe,5443
19,12/05/2017,Caribe,5360
20,19/05/2017,Caribe,5317
21,26/05/2017,Caribe,5274
22,02/06/2017,Caribe,5251
23,09/06/2017,Caribe,5202
24,16/06/2017,Caribe,5166
51,23/12/2016,Eje Cafetero,6073
52,30/12/2016,Eje Cafetero,6057
1,06/01/2017,Eje Cafetero,6096
2,13/01/2017,Eje Cafetero,6057
3,20/01/2017,Eje Cafetero,5719
4,27/01/2017,Eje Cafetero,5721
5,03/02/2017,Eje Cafetero,5684
6,10/02/2017,Eje Cafetero,5693
7,17/02/2017,Eje Cafetero,5604
8,24/02/2017,Eje Cafetero,5595
9,03/03/2017,Eje Cafetero,5601
10,10/03/2017,Eje Cafetero,5558
11,17/03/2017,Eje Cafetero,5492
12,24/03/2017,Eje Cafetero,5441
13,31/03/2017,Eje Cafetero,5433
14,07/04/2017,Eje Cafetero,5250
15,14/04/2017,Eje Cafetero,5289
16,21/04/2017,Eje Cafetero,5242
17,28/04/2017,Eje Cafetero,5181
18,05/05/2017,Eje Cafetero,5172
19,12/05/2017,Eje Cafetero,5083
20,19/05/2017,Eje Cafetero,5039
21,26/05/2017,Eje Cafetero,5052
22,02/06/2017,Eje Cafetero,4993
23,09/06/2017,Eje Cafetero,4971
24,16/06/2017,Eje Cafetero,4889
51,23/12/2016,Valle,5907
52,30/12/2016,Valle,5999
1,06/01/2017,Valle,5964
2,13/01/2017,Valle,5819
3,20/01/2017,Valle,5813
4,27/01/2017,Valle,5772
5,03/02/2017,Valle,5715
6,10/02/2017,Valle,5664
7,17/02/2017,Valle,5603
8,24/02/2017,Valle,5536
9,03/03/2017,Valle,5457
10,10/03/2017,Valle,5367
11,17/03/2017,Valle,5253
12,24/03/2017,Valle,5220
13,31/03/2017,Valle,5217
14,07/04/2017,Valle,5213
15,14/04/2017,Valle,5140
16,21/04/2017,Valle,5113
17,28/04/2017,Valle,5101
18,05/05/2017,Valle,5071
19,12/05/2017,Valle,4891
20,19/05/2017,Valle,4894
21,26/05/2017,Valle,4803
22,02/06/2017,Valle,4872
23,09/06/2017,Valle,4807
24,16/06/2017,Valle,4696
